attacker_name,avg_damage,total_damage,total_kills,headshots,avg_distance,avg_effectiveness,smoke_kills,blind_kills,headshot_rate
---Beast,73.04,4017,55,30,14.4,0.48,2,0,54.5
1TyRa,76.17,4113,54,27,16.11,0.48,3,0,50.0
4TAYLOR,79.77,3829,48,28,15.85,0.53,4,1,58.3
ADDICT,83.65,2593,31,21,16.37,0.56,0,0,67.7
CULIACAN,71.53,3219,45,23,14.68,0.48,5,0,51.1
Majesticzz,77.11,3393,44,22,14.6,0.5,2,0,50.0
Mechanical,83.65,1673,20,13,13.37,0.55,0,0,65.0
Myst,70.62,1130,16,9,16.71,0.49,4,0,56.2
Nightraid,102.24,1738,17,11,20.87,0.63,3,0,64.7
SaVage,83.64,2342,28,19,13.96,0.57,2,0,67.9
Scorchyy,108.81,5114,47,17,20.54,0.56,2,2,36.2
a_m_c,95.72,5169,54,18,17.69,0.52,4,0,33.3
beau,66.22,596,9,5,14.92,0.46,1,0,55.6
calamity,55.73,2508,45,21,13.75,0.39,1,0,46.7
gadflyy,68.25,2730,40,16,16.04,0.42,0,0,40.0
hazr,85.2,2130,25,16,14.45,0.56,2,1,64.0
jayketh,70.56,1129,16,9,17.95,0.48,2,0,56.2
jsfeltner,70.05,3923,56,22,18.04,0.42,3,2,39.3
juna,59.45,3448,58,26,16.12,0.41,4,0,44.8
keen,95.93,2878,30,11,26.31,0.52,2,0,36.7
lunari,80.33,3615,45,24,18.88,0.5,1,0,53.3
madss,62.41,3183,51,21,16.84,0.4,4,1,41.2
micro,76.36,5116,67,30,15.61,0.47,8,0,44.8
sathsea,90.74,4265,47,17,15.17,0.51,4,0,36.2
shadiy,87.12,2962,34,22,17.21,0.58,6,0,64.7
spamzzy,76.13,4796,63,32,14.78,0.49,6,0,50.8
tender272,82.39,4861,59,40,16.27,0.57,6,0,67.8
torii,72.67,2398,33,19,17.51,0.48,0,0,57.6
violet_,110.47,5192,47,15,19.59,0.56,4,0,31.9
wasteyute,77.05,3005,39,17,11.98,0.49,4,0,43.6
